area_name,geographycode,Employment_Status_Allcategories,Employment_Status_Part_time,Employment_Status_Part_time per 1000,Employment_Status_Full_time,Employment_Status_Full_time per 1000,Employment_Status_Self_employedwithemployees_Part_time,Employment_Status_Self_employedwithemployees_Part_time per 1000,Employment_Status_Self_employedwithemployees_Full_time,Employment_Status_Self_employedwithemployees_Full_time per 1000,Employment_Status_Self_employedwithoutemployees_Part_time,Employment_Status_Self_employedwithoutemployees_Part_time per 1000,Employment_Status_Self_employedwithoutemployees_Full_time,Employment_Status_Self_employedwithoutemployees_Full_time per 1000,Employment_Status_Full_time_student,Employment_Status_Full_time_student per 1000,General_Health_Allcategories,General_Health_Very_good_health,General_Health_Very_good_health per 1000,General_Health_Good_health,General_Health_Good_health per 1000,General_Health_Fair_health,General_Health_Fair_health per 1000,General_Health_Bad_health,General_Health_Bad_health per 1000,General_Health_Very_bad_health,General_Health_Very_bad_health per 1000,TOTAL POPULATION,covid_deaths
Adur,E07000223,22179,5070,228.5946165,11688,526.9849858,159,7.168943595,695,31.33594842,1285,57.9376888,2563,115.5597637,719,32.41805311,61182,26107,426.7104704,22373,365.6794482,9181,150.0604753,2757,45.06227322,764,12.48733288,61182,87
Allerdale,E07000026,40513,10733,264.9273073,21473,530.0273986,335,8.268950707,1718,42.40614124,1525,37.64223829,3481,85.92303705,1248,30.80492681,96422,42887,444.7843853,33297,345.3257555,14210,147.3730062,4762,49.38706934,1266,13.12978366,96422,259
Amber Valley,E07000032,55025,12390,225.1703771,33008,599.8727851,273,4.96138119,1540,27.98727851,2049,37.23761926,4119,74.85688323,1646,29.9136756,122309,53826,440.0820872,42795,349.8924854,18336,149.9153783,5810,47.50263676,1542,12.60741237,122309,306
Arun,E07000224,49092,12180,248.1055977,23951,487.879899,410,8.351666259,1759,35.83068524,3258,66.36519188,5692,115.9455716,1842,37.52138841,149518,62774,419.842427,54975,367.6814832,23299,155.827392,6608,44.19534772,1862,12.4533501,149518,320
Ashfield,E07000170,53093,11614,218.7482342,34194,644.0397039,261,4.915902285,1090,20.53001337,1426,26.85853126,3321,62.55061873,1187,22.35699621,119497,50253,420.5377541,41200,344.77853,19484,163.0501184,6764,56.60393148,1796,15.02966602,119497,378
Ashford,E07000105,54618,12333,225.8046798,30492,558.2774909,292,5.346222857,1622,29.69716943,2553,46.74283203,5189,95.0053096,2137,39.12629536,117956,56128,475.8384482,41385,350.8511648,15027,127.3949608,4163,35.29282105,1253,10.62260504,117956,347
Aylesbury Vale,E07000004,75310,16096,213.7299163,41858,555.8093215,475,6.307263312,2393,31.77532864,4123,54.74704555,7796,103.518789,2569,34.11233568,174137,89515,514.049283,59530,341.8572733,19073,109.5287044,4661,26.76628172,1358,7.798457536,174137,356
Babergh,E07000200,35722,8291,232.0978669,18589,520.379598,256,7.166452046,1234,34.54453838,2179,60.99882425,3979,111.3879402,1194,33.42478025,87740,40875,465.8650558,31433,358.2516526,11624,132.4823342,3023,34.45406884,785,8.946888534,87740,204
Barking and Dagenham,E09000002,58444,11851,202.7753063,33592,574.7724317,458,7.836561495,1914,32.74929847,2829,48.40531107,5664,96.91328451,2136,36.54780645,185911,87819,472.3711884,62720,337.3657288,24042,129.3199434,8686,46.72128061,2644,14.22185885,185911,513
Barnet,E09000003,129112,27111,209.9804821,61527,476.5397484,1347,10.43280253,5246,40.6313898,11153,86.3823657,16519,127.9431811,6209,48.09003036,356386,183453,514.7592779,117508,329.7211451,39172,109.9145309,12197,34.22412777,4056,11.38091844,356386,867
Barnsley,E08000016,82962,21164,255.1047468,46661,562.4382247,534,6.436681854,2590,31.21911236,2836,34.18432535,6741,81.25406813,2436,29.36284082,231221,96194,416.026226,77649,335.8215733,37956,164.1546399,15278,66.07531323,4144,17.92224755,231221,717
Barrow-in-Furness,E07000027,31302,8560,273.4649543,18672,596.511405,178,5.686537601,681,21.75579835,837,26.73950546,1446,46.1951313,928,29.64666794,69087,29538,427.5478744,22865,330.9595148,10898,157.7431355,4542,65.74319336,1244,18.00628193,69087,165
Basildon,E07000066,82802,18646,225.1877974,49225,594.4904712,417,5.036110239,2228,26.90756262,2706,32.68037004,6910,83.45209053,2670,32.24559793,174497,80704,462.4950572,60991,349.5246337,23145,132.6383835,7355,42.14972177,2302,13.19220388,174497,555
Basingstoke and Deane,E07000084,84821,15653,184.541564,54671,644.5455724,335,3.94949364,1725,20.33694486,3105,36.60650075,6312,74.41553389,3020,35.60439042,167799,85034,506.7610653,58917,351.1165144,18047,107.5512965,4559,27.16941102,1242,7.401712763,167799,287
Bassetlaw,E07000171,51829,12442,240.0586544,31069,599.4520442,303,5.846147909,1387,26.7610797,1642,31.68110517,3439,66.35281406,1547,29.84815451,112863,48326,428.1828411,39138,346.7744079,17794,157.6601721,5912,52.38209156,1693,15.00048732,112863,214
Bath and North East Somerset,E06000022,89861,20546,228.6420138,49486,550.6949622,523,5.820099932,2503,27.85413027,4229,47.06157287,7208,80.21277306,5366,59.71444787,176016,88882,504.9654577,58849,334.3389237,20856,118.4892283,5831,33.12767021,1598,9.078720116,176016,265
Bedford,E06000055,74527,16415,220.2557462,44331,594.8314034,433,5.809974908,2000,26.83591182,2818,37.81179975,5344,71.70555638,3186,42.74960752,157479,73860,469.0149163,56663,359.8130544,19812,125.8072505,5596,35.53489672,1548,9.82988208,157479,479
Bexley,E09000004,74670,17720,237.3108343,38616,517.1554841,469,6.2809696,2521,33.76188563,3585,48.0112495,8829,118.2402571,2930,39.23931967,231997,111323,479.8467222,80446,346.7544839,29015,125.0662724,8688,37.44876011,2525,10.88376143,231997,579
Birmingham,E08000025,488095,106198,217.5764964,303837,622.4956207,3033,6.213954251,11473,23.50567,15305,31.35660066,26224,53.72724572,22025,45.12441226,1073045,488568,455.3098891,363904,339.132096,148782,138.6540173,54105,50.42193011,17686,16.48206739,1073045,2716
Blaby,E07000129,51967,10827,208.3437566,32821,631.5738834,205,3.94481113,1091,20.9940924,1607,30.92347066,3423,65.86872438,1993,38.35126138,93915,44615,475.0572326,33631,358.1004099,11764,125.2622052,3081,32.80626098,824,8.773891285,93915,208
Blackburn with Darwen,E06000008,64522,15345,237.8258578,38483,596.4322247,489,7.578810328,1807,28.00595146,2042,31.64812002,3698,57.31378445,2658,41.19525123,147489,66991,454.2101445,49010,332.2959678,20725,140.518954,8428,57.14324458,2335,15.83168914,147489,416
Blackpool,E06000009,63189,15990,253.0503727,34339,543.4331925,385,6.092832613,1895,29.98939689,2409,38.12372407,5522,87.38862777,2649,41.92185349,142065,56600,398.4091789,48022,338.0283673,23977,168.7748566,10346,72.82581917,3120,21.96177806,142065,382
Bolsover,E07000033,29342,6395,217.9469702,18188,619.8623134,152,5.180287642,735,25.04941722,935,31.86558517,2071,70.58141913,866,29.51400723,75866,30934,407.745235,25423,335.1039992,12965,170.8934173,5152,67.90920834,1392,18.34814014,75866,222
Bolton,E08000001,114946,27612,240.2171454,67057,583.378282,809,7.03808745,3191,27.76086162,4046,35.19913699,7595,66.07450455,4636,40.33198197,276786,125548,453.592306,93765,338.7635213,39139,141.4052734,14465,52.26059121,3869,13.97830815,276786,680
Boston,E07000136,31094,8011,257.6381295,18331,589.5349585,184,5.917540361,918,29.52338072,901,28.97665144,1912,61.49096289,837,26.91837654,64637,26298,406.8567539,24225,374.7853397,10252,158.6088463,3058,47.31036403,804,12.4386961,64637,157
Bournemouth,E06000028,81141,18887,232.7676514,43679,538.3098557,527,6.49486696,2437,30.03413811,3595,44.3055915,7132,87.89637791,4884,60.19151847,183491,84955,462.9927353,63260,344.7580535,24866,135.5161834,8009,43.64791734,2401,13.08511044,183491,376
Bracknell Forest,E06000036,59267,10123,170.8033138,39206,661.5148396,215,3.627651138,1119,18.88065871,2095,35.3485076,4510,76.09630992,1999,33.72871919,113205,59320,524.0051234,38814,342.8647145,11394,100.6492646,2859,25.25506824,818,7.225829248,113205,157
Bradford,E08000032,213515,51830,242.7464113,123005,576.0953563,1595,7.470201157,5909,27.67487062,8390,39.29466314,14326,67.09598857,8460,39.62250896,522452,234133,448.1426045,186031,356.0729024,71580,137.0078017,23768,45.49317449,6940,13.28351695,522452,1162
Braintree,E07000067,57625,13101,227.3492408,30706,532.8590022,396,6.872017354,2022,35.08893709,2992,51.92190889,6380,110.7158351,2028,35.19305857,147084,69884,475.1298578,52492,356.8845014,18291,124.35751,5046,34.30692665,1371,9.32120421,147084,402
Breckland,E07000143,50487,11584,229.4452037,28230,559.1538416,302,5.981737873,1674,33.15705033,2436,48.25004457,4858,96.22279003,1403,27.78933191,130491,55097,422.2283529,48663,372.9222705,19565,149.9337119,5623,43.0910944,1543,11.82457028,130491,295
Brent,E09000005,115221,21089,183.0308711,61616,534.7636282,1234,10.70985324,4646,40.32251065,7577,65.76058184,13895,120.5943361,5164,44.8182189,311215,149695,481.0018797,108169,347.5700079,36731,118.0245168,12339,39.64783188,4281,13.7557637,311215,792
Brentwood,E07000068,33868,7386,218.0819653,19150,565.4304949,219,6.466280855,1127,33.27624897,1705,50.3425062,3189,94.15967875,1092,32.24282509,73601,37548,510.156112,24537,333.3786226,8565,116.3707015,2306,31.33109604,645,8.763467888,73601,224
Brighton and Hove,E06000043,134345,29162,217.0679966,69941,520.6073914,896,6.669395958,4077,30.34724031,7972,59.33975957,13760,102.4228665,8537,63.54534966,273369,134673,492.6418138,91970,336.4317095,32298,118.1479978,11151,40.79101873,3277,11.98746017,273369,405
Broadland,E07000144,47264,10913,230.8945498,25578,541.1729858,307,6.495429926,1504,31.82125931,2585,54.69278944,4961,104.9636087,1416,29.95937712,124646,55219,443.0065947,46106,369.8955442,17475,140.197038,4499,36.09421883,1347,10.8066043,124646,309
Bromley,E09000006,111405,26790,240.4739464,56220,504.6452134,857,7.692652933,3687,33.0954625,6723,60.34738118,12365,110.9914277,4763,42.75391589,309392,154998,500.976108,105574,341.2305425,36098,116.6739929,9904,32.0111703,2818,9.108186378,309392,673
Bromsgrove,E07000234,39055,9126,233.6704647,21399,547.9196006,288,7.374215849,1310,33.54244015,1872,47.93240302,3558,91.10229164,1502,38.45858405,93637,45932,490.5325886,31306,334.3336502,11885,126.9263219,3484,37.20751412,1030,10.99992524,93637,247
Broxbourne,E07000095,38867,8224,211.5933826,21939,564.4634266,257,6.612293205,1186,30.51431806,1649,42.42673734,4320,111.1482749,1292,33.2415674,93609,44661,477.1015607,33072,353.2993622,11544,123.3214755,3357,35.86193635,975,10.41566516,93609,215
